song,artist,genre,mood,language,energy,danceability,valence,tempo_bpm,popularity
Shape of You,Ed Sheeran,Pop,Happy,English,0.65,0.83,0.93,96,95
Blinding Lights,The Weeknd,Pop,Energetic,English,0.73,0.51,0.33,171,98
Levitating,Dua Lipa,Pop,Happy,English,0.7,0.7,0.76,103,92
Watermelon Sugar,Harry Styles,Pop,Happy,English,0.55,0.76,0.75,95,90
As It Was,Harry Styles,Pop,Melancholic,English,0.73,0.52,0.54,124,94
Flowers,Miley Cyrus,Pop,Happy,English,0.67,0.75,0.97,118,91
Bad Guy,Billie Eilish,Pop,Dark,English,0.82,0.7,0.56,135,93
Stay,Justin Bieber,Pop,Romantic,English,0.58,0.75,0.45,170,88
Peaches,Justin Bieber,Pop,Happy,English,0.68,0.57,0.69,90,87
Save Your Tears,The Weeknd,Pop,Sad,English,0.66,0.59,0.36,118,89
Positions,Ariana Grande,Pop,Romantic,English,0.68,0.74,0.42,144,86
drivers license,Olivia Rodrigo,Pop,Sad,English,0.43,0.46,0.13,76,88
good 4 u,Olivia Rodrigo,Pop Rock,Energetic,English,0.89,0.56,0.68,166,87
Heat Waves,Glass Animals,Indie Pop,Melancholic,English,0.53,0.54,0.37,81,91
Unholy,Sam Smith,Pop,Dark,English,0.7,0.74,0.41,130,85
Anti-Hero,Taylor Swift,Pop,Melancholic,English,0.64,0.7,0.47,97,93
Cruel Summer,Taylor Swift,Pop,Energetic,English,0.7,0.55,0.56,170,92
Shake It Off,Taylor Swift,Pop,Happy,English,0.8,0.65,0.94,160,89
Happier,Marshmello,Pop,Happy,English,0.75,0.65,0.82,100,84
Memories,Maroon 5,Pop,Sad,English,0.52,0.54,0.52,91,86
Bohemian Rhapsody,Queen,Rock,Dark,English,0.4,0.23,0.27,144,97
Hotel California,Eagles,Rock,Dark,English,0.35,0.4,0.17,75,95
Smells Like Teen Spirit,Nirvana,Rock,Energetic,English,0.92,0.47,0.49,117,96
Come As You Are,Nirvana,Rock,Melancholic,English,0.6,0.45,0.29,120,88
Sweet Child O Mine,Guns N Roses,Rock,Energetic,English,0.65,0.43,0.44,122,95
November Rain,Guns N Roses,Rock,Sad,English,0.35,0.26,0.22,74,90
Stairway to Heaven,Led Zeppelin,Rock,Melancholic,English,0.35,0.3,0.19,82,94
Enter Sandman,Metallica,Rock,Dark,English,0.78,0.38,0.17,123,91
Master of Puppets,Metallica,Rock,Dark,English,0.82,0.36,0.13,212,89
Back In Black,AC DC,Rock,Energetic,English,0.72,0.46,0.53,92,92
Believer,Imagine Dragons,Rock,Motivational,English,0.77,0.55,0.46,125,91
Thunder,Imagine Dragons,Rock,Energetic,English,0.78,0.61,0.53,168,87
Natural,Imagine Dragons,Rock,Motivational,English,0.68,0.47,0.37,100,85
Radioactive,Imagine Dragons,Rock,Dark,English,0.56,0.46,0.35,136,90
Enemy,Imagine Dragons,Rock,Dark,English,0.74,0.57,0.46,152,88
Mr Brightside,The Killers,Rock,Energetic,English,0.8,0.46,0.55,148,93
Somebody That I Used to Know,Gotye,Indie Rock,Sad,English,0.53,0.59,0.27,129,89
Little Lion Man,Mumford and Sons,Folk Rock,Energetic,English,0.72,0.49,0.47,155,85
Dog Days Are Over,Florence and The Machine,Indie Rock,Happy,English,0.8,0.48,0.66,170,84
Pumped Up Kicks,Foster the People,Indie Pop,Dark,English,0.58,0.71,0.72,128,87
God's Plan,Drake,Hip Hop,Motivational,English,0.65,0.75,0.42,77,94
HUMBLE,Kendrick Lamar,Hip Hop,Dark,English,0.6,0.77,0.42,150,92
Money Trees,Kendrick Lamar,Hip Hop,Melancholic,English,0.44,0.79,0.3,79,88
Sicko Mode,Travis Scott,Hip Hop,Dark,English,0.73,0.78,0.29,155,91
Sunflower,Post Malone,Hip Hop,Happy,English,0.48,0.76,0.91,164,95
Rockstar,Post Malone,Hip Hop,Dark,English,0.6,0.66,0.22,160,89
Industry Baby,Lil Nas X,Hip Hop,Energetic,English,0.75,0.76,0.59,149,87
Montero,Lil Nas X,Pop,Dark,English,0.7,0.71,0.39,150,86
3 Nights,Dominic Fike,R&B,Romantic,English,0.51,0.75,0.61,88,83
Essence,Wizkid,Afrobeats,Romantic,English,0.65,0.72,0.68,111,85
Thinking Out Loud,Ed Sheeran,R&B,Romantic,English,0.38,0.6,0.63,79,91
Perfect,Ed Sheeran,Pop,Romantic,English,0.35,0.45,0.52,95,93
All of Me,John Legend,R&B,Romantic,English,0.33,0.37,0.54,63,92
XO,Beyonce,R&B,Romantic,English,0.52,0.72,0.66,102,84
Love On Top,Beyonce,R&B,Happy,English,0.8,0.63,0.89,185,86
Levels,Avicii,Electronic,Energetic,English,0.72,0.67,0.71,126,92
Wake Me Up,Avicii,Electronic,Motivational,English,0.69,0.58,0.63,124,91
One More Time,Daft Punk,Electronic,Happy,English,0.78,0.68,0.82,123,90
Get Lucky,Daft Punk,Electronic,Happy,English,0.65,0.76,0.8,116,88
Harder Better Faster,Daft Punk,Electronic,Energetic,English,0.85,0.74,0.66,123,85
Digital Love,Daft Punk,Electronic,Romantic,English,0.71,0.74,0.73,124,84
Clarity,Zedd,Electronic,Energetic,English,0.78,0.62,0.53,128,83
Titanium,David Guetta,Electronic,Motivational,English,0.72,0.58,0.37,126,88
Animals,Martin Garrix,Electronic,Energetic,English,0.87,0.55,0.43,128,84
Lean On,Major Lazer,Electronic,Energetic,English,0.72,0.58,0.73,98,87
